,fit_count,fit_item,reducer,booster
0,299650.0,126476.4,"['None', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
1,425750.0,74685.6,"['None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
2,757087.5,14127.75,"['None', '+5%', 'None', '+5%', '+5%', 'None', '+5%', 'None', 'None', 'None']","['None', 'None', '+1', 'None', '+2', 'None', '+2', '+2', '+2', '+2']"
3,303062.5,94096.2,"['None', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
4,3106187.5,8601.75,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1', '+1']"
5,5661500.0,0.0,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
6,247650.0,144922.2,"['None', 'None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', 'None', 'None', '+2', '+2', '+2', '+2', '+2']"
7,446875.0,64480.2,"['None', '+5%', '+5%', '+5%', '+5%', '+5%', '+5%', '+10%', '+10%', '+10%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
8,259350.0,133193.4,"['None', '+10%', '+10%', '+10%', '+10%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
9,242450.0,157476.0,"['None', '+5%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
10,630175.0,40290.75,"['None', 'None', '+5%', '+30%', '+10%', '+5%', '+10%', 'None', '+5%', 'None']","['+1', '+1', '+1', '+1', '+1', '+2', '+2', '+2', '+2', '+1']"
11,403000.0,85015.8,"['None', '+5%', '+5%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
12,391787.5,89313.6,"['None', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+10%', '+30%']","['None', 'None', '+2', '+2', '+2', '+2', '+2', '+2', '+2', '+2']"
